name	sources	files	one_liner	layer	scope	vertical	status	traction	priority
Admyral	YC W25	yc-2025.md	Open-source security automation workflows built on AI agents	L3	vertical	security	active	none visible	high
Adobe Agent Orchestrator	ext:L5	kp-suites.md	Agent orchestration layer on Adobe Experience Platform	L5	horizontal	general	active	none visible	normal
Adopt AI	Elevation	vc-in.md	Agentifies applications with auto-generated actions and interfaces	L2	horizontal	general	active	$6M seed led by Elevation 2025	normal
ADP Assist	ext:L5	kp-suites.md	AI agents purpose-built for HR and payroll	L5	vertical	HR	active	none visible	normal
Aemon	YC W26	yc-2026.md	Autonomous AI research systems for technical optimization	L3	vertical	software engineering	active	none visible	high
Aether	YC W24	yc-2024.md	AI sales platform for home services	L3	vertical	GTM/sales	active	none visible	high
Affineon Health	AI Fund	vc-ai.md	AI agents for healthcare administrative workflows	L3	vertical	healthcare	active	$5M raised Feb 2025	normal
Affogato AI	YC S21	yc-2021-22.md	AI video agent producing short-form video ads	L3	vertical	GTM and marketing	active	team 15	normal
Agara	Blume	vc-in.md	Autonomous voice and email AI for customer support	X	vertical	customer service	acquired	Acquired by Coinbase 2021	normal
Agency AI	Menlo	vc-us-b.md	AI agent automating customer success tasks	L3	vertical	customer success	active	Menlo Ser A 2025	normal
Agency Tool Company	YC S26	yc-2026.md	Infrastructure for robotics teams to manage robots	L1	horizontal	general	active	none visible	high
Agent FM	YC S26	yc-2026.md	Observability and narration for AI coding agents	L1	horizontal	general	active	none visible	high
Agent.ai	seed:L5	kp-suites.md	Agent network and marketplace from HubSpot cofounder	L2	horizontal	general	active	3 million registered users (reported)	normal
Agentcard	YC S26	yc-2026.md	Autonomous payment cards for AI agents	L1	horizontal	general	active	none visible	high
AgentHub	YC S25	yc-2025.md	RL simulation and evaluation engine for AI agents	L1	horizontal	general	active	none visible	high
Agentic Fabriq	YC W26	yc-2026.md	Identity and access governance for AI agents	L1	horizontal	general	active	none visible	high
Agentin AI	YC W25	yc-2025.md	Agents automating quote-to-cash across SAP, Salesforce, NetSuite	L3	vertical	finance	active	none visible	high
Agentive	YC S23	yc-2023.md	AI agents performing audit testing for accounting firms	L3	vertical	finance	active	none visible	normal
AgentMail	YC S25	yc-2025.md	Email inbox API giving AI agents their own mailboxes	L1	horizontal	general	active	none visible	high
AgentOps	ext:L1	kp-infra.md	Monitoring, testing, and analysis for AI agents	L1	horizontal	general	active	$2.6M pre-seed (2024)	normal
AgentQL	ext:X	kp-infra.md	Query language for web data extraction by agents	X	horizontal	general	active	Parent TinyFish raised $47M (2025)	high
AGI	ext:L3	kp-vertical-b.md	AI-native platform for insurance brokerages	L3	vertical	insurance	active	$70M raised (Jul 2026)	high
Agno	ext:OSS;seed:L2	kp-infra.md;kp-platforms.md	Framework for building multimodal agent teams	L2	horizontal	general	active	$3M seed (2025)	normal
Agnost AI	YC S26	yc-2026.md	Product analytics for conversational agents	L1	horizontal	general	active	none visible	high
Aim Security	seed:L1	kp-infra.md	Enterprise security platform for AI agents	L1	horizontal	general	active	$18M Series A (2024)	high
AIMon	Bessemer	vc-us-b.md	LLM evaluation and hallucination monitoring	L1	horizontal	general	active	$2.3M seed 2024; BVP investor	normal
AIR Security	ext:L1	kp-infra.md	Firewall vetting skills and add-ons agents use	L1	horizontal	general	active	$50M raised (Sept 2026)	high
AirMDR	Foundation Capital	vc-ai.md	AI-analyst-driven managed detection and response	L3	vertical	security	active	$15.5M raised July 2025	normal
Airtable AI Agents	ext:L5	kp-suites.md	Agents working inside records and connected data	L5	horizontal	general	active	none visible	normal
Airtop	ext:X	kp-infra.md	Browser automation for AI agents	X	horizontal	general	active	$38.8M raised (2025)	high
AiSDR	gtm:tofu;ext:L3;YC S23	gtm-carry.md;kp-vertical-b.md;yc-2023.md	Lean AI sales agent covering prospect-to-booked-meeting, HubSpot-centric	L3	vertical	GTM/sales	active	from $250 monthly	normal
Aisera	ext:L2;seed:L3;Khosla Ventures;Menlo	kp-platforms.md;kp-vertical-a.md;vc-us-a.md;vc-us-b.md	AI agent platform for IT, HR, and customer service workflows	L2	horizontal	general	acquired	$90M Series D 2022 led by Thoma Bravo and Goldman	high
Akon Labs	YC S26	yc-2026.md	Nervous system for AI agents	L1	horizontal	general	active	none visible	high
Alexi	ext:L3	kp-vertical-b.md	AI legal research memos for litigators	L3	vertical	legal	active	$11M Series A (2024)	normal
Aligned	gtm:cpq	gtm-carry.md	AI Deal Workspace with Seller and Buyer agents over cross-source deal context	L3	vertical	GTM/sales	active	ARR tripled pre-raise	high
Alkera AI	YC S26	yc-2026.md	AI agent for automating data pipeline development	L3	vertical	software engineering	active	none visible	high
Alltius	Blume	vc-in.md	Agentic AI suite for financial services customer interactions	L3	vertical	finance	active	$2.4M pre-seed 2023	normal
Alta	ext:L3	kp-vertical-b.md	AI-native operating layer for revenue teams	L3	vertical	GTM/sales	active	$25M Series A (Jul 2026)	normal
Alter	YC S25	yc-2025.md	Zero-trust access control wrapping every agent tool call	L1	horizontal	general	active	none visible	high
Altrina	YC W25	yc-2025.md	Universal BPO agent learning and executing SOPs across back offices	L3	horizontal	BPO/back office	active	none visible	high
Altur	YC S25	yc-2025.md	Voice AI agents for debt collection	L3	vertical	finance	active	none visible	high
Amazon Bedrock Agents	seed:L5	kp-suites.md	Managed agent orchestration, demoted to Classic status	L2	horizontal	general	pivoted	Renamed Bedrock Agents Classic July 2026	normal
Amazon Q Business	ext:L5	kp-suites.md	Enterprise assistant closed to new customers, migrating to Quick	L2	horizontal	general	pivoted	no longer open to new customers (2026)	normal
Amazon Q Developer	ext:L5	kp-suites.md	AWS coding agent winding down, users directed to Kiro	L3	vertical	software engineering	pivoted	end of support April 2027	normal
Amazon Quick	ext:L5	kp-suites.md	Agentic assistant for work, successor to Amazon Q Business	L2	horizontal	general	active	new 2026 launch; uptake undisclosed	normal
Ambience	seed:L3	kp-vertical-b.md	AI medical scribes and coding automation for health systems	L3	vertical	healthcare	active	$243M Series C; unicorn (Jul 2025)	high
Ambral	YC S25	yc-2025.md	AI account managers autonomously driving expansions and renewals	L3	vertical	GTM/sales	active	none visible	high
Amelia	seed:L2	kp-platforms.md	Enterprise conversational AI and automation platform from IPsoft	L2	horizontal	general	acquired	Acquired by SoundHound for $80M Aug 2024	normal
Amera	YC F25	yc-2025.md	Automates health claims processing for insurance payers	L3	vertical	insurance	active	none visible	high
Amigo	Madrona	vc-us-c.md	Infrastructure for secure compliant clinical AI agents	L1	vertical	healthcare	active	$11M Ser A 2026	normal
Amigo AI	ext:L3	kp-vertical-b.md	Patient-facing clinical AI agents	L3	vertical	healthcare	active	$11M Series A (Mar 2026)	normal
Amika	YC F25	yc-2025.md	Infrastructure for software factories of sandboxed coding agents	L1	horizontal	general	active	none visible	high
Amorphic Labs	YC S26	yc-2026.md	AI agent generating personalized product demo videos for sales	L3	vertical	sales	active	none visible	high
Amperos	Bessemer	vc-us-b.md	Multi-agent platform for medical claims processing	L3	vertical	healthcare	active	BVP-backed, early stage	normal
Amulet	YC S26	yc-2026.md	Shared storage infrastructure for AI agents	L1	horizontal	general	active	none visible	high
Anchorhead	YC W26	yc-2026.md	Design editor for AI coding agents to collaborate	L1	horizontal	general	active	none visible	high
Andon Labs	YC W24	yc-2024.md	Autonomous organizations without humans in the loop	L2	horizontal	general	active	none visible	high
Anglera	YC S24	yc-2024.md	AI-Powered Product Data Enrichment	L3	vertical	retail/ecommerce	active	none visible	high
Ankr Health	YC W22	yc-2021-22.md	generative AI recreating clinic staff functions	L3	vertical	healthcare	active	integrates with top EHRs	normal
Anterior	seed:L3;NEA	kp-vertical-b.md;vc-us-b.md	AI automating prior authorization and clinical workflows	L3	vertical	healthcare	active	$40M round (Feb 2026); $64M total	high
Anthropic Agent SDK	seed:L2	kp-platforms.md	Official SDK for building agents on Claude models	L2	horizontal	general	active	Powers Claude Code; standard for Claude agents	high
Antigen	YC F25	yc-2025.md	Continuous offensive security with automated red teams	L3	vertical	security	active	none visible	high
Applied Compute	Lux	vc-us-c.md	In-house enterprise agent workforces via custom models	L2	horizontal	general	active	$80M raised at $1.3B val	high
Approxima	YC W26	yc-2026.md	AI agents for routine software development tasks	L3	vertical	software engineering	active	none visible	high
Apriora	YC W24	yc-2024.md	Your AI recruiter for interviewing and identifying the best talent	L3	vertical	HR	active	Raised $2.8M	high
Apten	YC S24	yc-2024.md	Omnichannel AI agents that engage leads across SMS, voice, and email	X	horizontal	general	active	none visible	high
Ara	ext:L3	kp-vertical-a.md	Self-driving cloud coding IDE agent	L3	vertical	software engineering	active	YC-backed (2026)	normal
Arca	General Catalyst	vc-us-b.md	AI agents for wealth advisory operations	L3	vertical	financial services	active	$49M Ser A 2026 led by GC	normal
Arcade	ext:L1	kp-infra.md	Authorization and secure action layer for AI agents	L1	horizontal	general	active	$60M Series A (2026); acquired Smithery	high
Archal	YC S26	yc-2026.md	Isolated stateful simulated sandboxes for agents	L1	horizontal	general	active	none visible	high
Argovox	YC S22	yc-2021-22.md	voice AI agents for patient billing and collections	X	vertical	healthcare	dead	none visible	normal
Arini	YC W24	yc-2024.md	AI receptionist for dentists	X	vertical	healthcare	active	Raised $500K Seed	high
Arintra	YC W22	yc-2021-22.md	autonomous clinical AI for medical coding and revenue assurance	L3	vertical	healthcare	active	UC Davis Health, Rochester Regional customers	normal
Arize	seed:L1;Foundation Capital;Battery	kp-infra.md;vc-ai.md;vc-us-b.md	Observability and evals for LLMs and agents (Phoenix OSS)	L1	horizontal	general	active	$70M Series C (2025)	high
Armadin	Menlo	vc-us-b.md	Autonomous AI cyber attacker testing enterprise defenses	L3	vertical	security	active	Menlo Ser A 2026	normal
arnata	YC W21	yc-2021-22.md	AI workers for the logistics industry	L3	vertical	logistics	active	team 15	normal
Arphie	gtm:rfp	gtm-carry.md	Agent-driven RFP response with compliance-matrix handling from customer knowledge base	L3	vertical	GTM/sales	active	none visible	normal
Artemis Security	Felicis	vc-us-c.md	AI-native protection platform for security operations	L3	vertical	security	active	Series A per Felicis page	normal
Artisan	gtm:tofu;seed:L3;YC W24	gtm-carry.md;kp-vertical-b.md;yc-2024.md	AI BDR Ava automating outbound prospecting	L3	vertical	GTM/sales	active	~250 customers, $5M ARR	high
Arva AI	YC S24	yc-2024.md	AI Agents to scale AML, KYB and KYC operations	L3	vertical	finance/accounting	active	$3M from Google's AI fund	high
Asana AI Studio	ext:L5	kp-suites.md	No-code builder for work-management agents	L5	horizontal	general	active	none visible	normal
Asendia AI	ext:L3	kp-vertical-a.md	AI recruiter agents for staffing agencies	L3	vertical	HR and recruiting	active	YC-backed	normal
Ashr	YC W26	yc-2026.md	Testing and evaluation infrastructure for AI agents	L1	horizontal	general	active	none visible	high
AskUI	Seedcamp	vc-eu.md	AI agents automating software through user interfaces	X	horizontal	general	active	€4.3M seed, 2023	normal
Assemble	YC S26	yc-2026.md	AI coworkers for IT teams operating inside enterprise systems	L3	vertical	it	active	none visible	high
Assort Health	ext:L3;Menlo;Felicis	kp-vertical-b.md;vc-us-b.md;vc-us-c.md	AI voice agents for patient access and scheduling	L3	vertical	healthcare	active	$120M Series C at $1.2B (Jun 2026)	high
Asteroid	YC W25	yc-2025.md	Open-source builder for complex browser agents, AI browser workforce	X	horizontal	general	active	none visible	high
Astro	YC W25	yc-2025.md	AI energy developer finding land and securing grid connections	L3	vertical	energy	active	none visible	high
Atira	gtm:cpq;ext:L3	gtm-carry.md;kp-vertical-b.md	AI orchestration layer for industrial sales engineering and document generation	L3	vertical	GTM/sales	active	none visible	normal
Atla	YC S23	yc-2023.md	LLM judges that evaluate and guard AI agents	L1	horizontal	general	active	$5M seed led by Creandum	high
Atlassian Rovo	seed:L5	kp-suites.md	AI agents and knowledge across Jira, Confluence, and Atlassian tools	L5	horizontal	general	active	2.4 million business workflows (reported)	high
Atlia	YC S26	yc-2026.md	AI-native property management company	L3	vertical	real estate	active	none visible	high
Atomic	Madrona	vc-us-c.md	Agentic AI for supply chain planning	L3	vertical	logistics	active	$3M seed 2025	normal
Atomicwork	seed:L3;Z47, Blume;Battery	kp-vertical-a.md;vc-in.md;vc-us-b.md	AI agents for IT service and employee support	L3	vertical	IT and employee service	active	Khosla-led $25M Series A (2025)	high
Augment Code	ext:L3	kp-vertical-a.md	Codebase-aware AI coding agents for enterprises	L3	vertical	software engineering	active	$252M raised; ~$20M ARR est. (2025)	high
Aurascape	Menlo	vc-us-b.md	Security for enterprise AI and agent interactions	L1	horizontal	general	active	Menlo Ser A 2025	normal
Aurelian	NEA;YC S22	vc-us-b.md;yc-2021-22.md	AI agents for 911 and emergency call centers	L3	vertical	public safety	active	NEA-led Ser A 2025	normal
AutoAce	YC F25	yc-2025.md	AI-native dealership OS with AI service advisors on calls	L3	vertical	automotive	active	none visible	high
AutoComputer	YC F24	yc-2024.md	Desktop RPA with AI computer use	X	horizontal	general	active	Pre-Seed	high
Autodesk AI Assistant	ext:L5	kp-suites.md	Design and AEC workflow assistant and agents	L5	vertical	construction	active	none visible	normal
AutoGen	ext:OSS	kp-infra.md	Microsoft's open-source multi-agent framework	L2	horizontal	general	active	Widely adopted OSS; production release	normal
AutogenAI	gtm:rfp	gtm-carry.md	LLM platform auto-drafts compliant bid and tender responses from past proposals	L3	vertical	GTM/sales	active	UK fast-growth list 2026	normal
AutoGPT	seed:OSS;ext:L2	kp-infra.md;kp-platforms.md	Autonomous agent platform from the AutoGPT project	L2	horizontal	general	active	170000+ GitHub stars; hosted platform	high
automaited	Northzone	vc-eu.md	General process AI automating any business process	L2	horizontal	general	active	$4.2M seed, 2022	normal
Automat	Felicis;YC W23	vc-us-c.md;yc-2023.md	Managed automations built and maintained by AI	L4	horizontal	general	active	seed per Felicis page	high
Automation Anywhere AI Agents	ext:L5	kp-suites.md	Goal-driven agents on the Automation Success platform	L5	horizontal	general	active	none visible	normal
Automax.ai	YC F25	yc-2025.md	AI-native real estate appraisal firm using LiDAR and agents	L3	vertical	real estate	active	none visible	high
Autosana	YC S25	yc-2025.md	AI agents turning natural language into E2E mobile tests	L3	vertical	software engineering	active	none visible	high
Autotab	YC S23	yc-2023.md	AI knowledge worker operating mouse and keyboard	X	horizontal	general	active	none visible	normal
Avaamo	ext:L2	kp-platforms.md	Enterprise conversational AI platform for large organizations	L2	horizontal	general	active	$14.2M round led by Intel Capital 2018	normal
Avent	YC S25	yc-2025.md	Agents running quoting and order entry for industrial commerce	L3	vertical	distribution	active	none visible	high
Averi	seed:L4	kp-infra.md	AI marketing content engine with expert talent network	L4	horizontal	general	active	$5.3M raised (2025)	normal
Avery AI	YC W24	yc-2024.md	Contact Center for Residential Property Managers	L3	vertical	real estate	active	none visible	high
AviaryAI	YC S22	yc-2021-22.md	outbound AI voice agents for financial services	X	vertical	financial services	active	team 10	normal
Avina	YC S22	yc-2021-22.md	AI agents finding ready prospects, automating outreach	L3	vertical	GTM and sales	active	team 5	normal
Avoca	YC W23	yc-2023.md	AI receptionist answering missed calls for service SMBs	X	vertical	home services	active	none visible	normal
Avora	YC F24	yc-2024.md	Agents for dental operations	L3	vertical	healthcare	active	raised $2.3M seed	high
AWS AgentCore	seed:L5	kp-suites.md	Managed runtime with identity, memory, and observability for agents	L1	horizontal	general	active	GA October 2025; uptake undisclosed	normal
AWS Kiro	ext:L5	kp-suites.md	Agentic IDE from AWS, successor to Q Developer	L3	vertical	software engineering	active	none visible	normal
AWS Strands Agents	seed:L2;seed:L5	kp-platforms.md;kp-suites.md	AWS open-source agent SDK for Python and TypeScript	L2	horizontal	general	active	Open-sourced May 2025; paired with Bedrock AgentCore	high
Axal	YC W25	yc-2025.md	Agents moving RFQs, invoices, POs from inboxes into ERPs	L3	vertical	manufacturing	active	none visible	high
AXAR AI	YC W21	yc-2021-22.md	how great teams ship with AI	L2	horizontal	general	dead	none visible	normal
Axelrod	YC S26	yc-2026.md	Boutique hotels that run themselves	L3	vertical	real estate	active	none visible	high
Axiom.ai	YC W21	yc-2021-22.md	no-code browser automation and RPA	X	horizontal	general	active	$125K raised	normal
Azure AI Foundry	seed:L5	kp-suites.md	Pro-code platform and agent service for governed AI agents on Azure	L2	horizontal	general	active	Forrester TEI study 2026; 80% F500 claim spans Microsoft agents	high
Baidu AgentBuilder	ext:L2	kp-platforms.md	Baidu's no-code agent builder on the Qianfan platform	L2	horizontal	general	active	Part of Baidu Qianfan mass-market AI stack	normal
Balance	YC W26	yc-2026.md	Real-time audit-ready accounting powered by AI	L3	vertical	finance	active	none visible	high
Ballerine	YC S22	yc-2021-22.md	agentic intelligence layer for merchant risk decisions	L3	vertical	fintech	active	team 16	normal
Base.ai	gtm:cs	gtm-carry.md	Post-sale engagement platform with AI agents for advocacy and expansion	L3	vertical	GTM/sales	active	none visible	normal
BaseFrame	YC W26	yc-2026.md	Identifies tasks and provides specs for AI automation	L2	horizontal	general	active	none visible	high
Basepilot	YC W24	yc-2024.md	AI coworkers to automate browser work, in minutes	L3	vertical	insurance	active	none visible	high
Basis	seed:L3;Mayfield;Khosla Ventures	kp-vertical-b.md;vc-ai.md;vc-us-a.md	AI agents automating accounting close and workflows	L3	vertical	finance/accounting	active	$100M Series B at $1.15B valuation (Feb 2026)	high
Beacon Health	YC W26	yc-2026.md	AI agents automating healthcare EHR workflows	L3	vertical	healthcare	active	$5.4M prior to YC	high
Beam	YC W22	yc-2021-22.md	serverless cloud for AI inference, sandboxes, and agents	L1	horizontal	general	active	open source; Coca-Cola user	normal
Beam AI	seed:L2	kp-platforms.md	Agent OS and AI agents for back-office automation	L2	horizontal	general	active	None visible	normal
BeeSafe AI	YC W26	yc-2026.md	Fraud prevention platform engaging scammers in real-time	L3	vertical	security	active	none visible	high
Berry	YC W23	yc-2023.md	AI revenue agent for enterprise SaaS renewals	L3	vertical	sales	active	none visible	normal
Bespoke Labs	Mayfield	vc-ai.md	Environments that train reliable AI agents	L1	horizontal	general	active	$40M raised July 2026	normal
Bezi	Bessemer	vc-us-b.md	Vertical AI agent for game development	L3	vertical	software engineering	active	BVP-backed, early stage	normal
Billow AI	YC S26	yc-2026.md	Agent-native accounting firms	L3	vertical	finance	active	none visible	high
bitrig	YC W24	yc-2024.md	Vibe code, test, and deploy Swift apps	L3	vertical	software engineering	active	$500K Seed	high
Bizzy	YC S25;YC W26	yc-2025.md;yc-2026.md	AI answering calls, qualifying leads, booking into CRM	L3	vertical	customer service	active	none visible	high
BlackLine	seed:L3	kp-vertical-b.md	Accounting close suite with multi-agent AI	L5	vertical	finance/accounting	active	public company; Verity agent AI for close	high
Bland	seed:X;YC S23	kp-infra.md;yc-2023.md	AI phone-call platform for enterprise workflows	X	horizontal	general	active	$100M+ raised; 3.5M weekly calls (2026)	high
Blink	YC W22	yc-2021-22.md	AI building and launching full-stack web apps from descriptions	L3	vertical	software engineering	active	none visible	normal
Blitzy	Northzone	vc-eu.md	Autonomous code generation platform building enterprise software end to end	L3	vertical	software engineering	active	$200M at $1.4B led by Northzone, May 2026	high
Bluebook	YC W25	yc-2025.md	AI agents handling accounting research, reconciliations, month-end close	L3	vertical	accounting	active	none visible	high
Bluecopa	Blume	vc-in.md	Autonomous finance agents for reconciliation and close	L3	vertical	finance	active	$7.5M Series A 2026	normal
Bolna	Blume;YC F25	vc-in.md;yc-2025.md	India-focused voice AI orchestration platform for enterprise calls	X	horizontal	general	active	$6.3M seed 2026; $700K ARR	high
Booko	YC W26	yc-2026.md	Predicts empty slots and automatically applies discounts	L3	horizontal	general	active	none visible	high
Boom AI	YC F25	yc-2025.md	AI employee managing every ecommerce customer interaction	L3	vertical	customer service	active	none visible	high
Boomi AI Agents	ext:L5	kp-suites.md	Integration agents built in Boomi Agent Designer	L5	horizontal	general	active	none visible	normal
BootLoop	YC S25	yc-2025.md	AI agent writing and testing firmware on real hardware	L3	vertical	software engineering	active	none visible	high
BotCity	YC W22	yc-2021-22.md	orchestration and governance for AI-generated automation scripts	L1	horizontal	general	active	$12M Series A Sep 2025	high
Boton	YC S22	yc-2021-22.md	accounting software with an AI agent	L3	vertical	finance and accounting	active	team 3	normal
Botpress	seed:L2	kp-platforms.md	Platform for building and deploying conversational AI agents	L2	horizontal	general	active	$25M Series B Jun 2025	high
Boundo	YC S22	yc-2021-22.md	autonomous motion designer turning product features into videos	L3	vertical	GTM and marketing	active	renamed Impractical; ex-AI SDR	normal
Bounti	gtm:sol;seed:L3	gtm-carry.md;kp-vertical-b.md	Full-stack agentic AI teammate platform for sales, marketing, customer success	L3	vertical	GTM/sales	active	first prospecting teammate shipped	normal
Box AI Studio	ext:L5	kp-suites.md	Custom agents over enterprise content	L5	horizontal	general	active	none visible	normal
Brainbase Labs	YC W24	yc-2024.md	Applied AI research lab enabling the global AI workforce	L1	horizontal	general	active	none visible	high
Braintrust	seed:L1;a16z	kp-infra.md;vc-us-a.md	Evals and data platform for production AI agents	L1	horizontal	general	active	$80M Series B at $800M (2026)	high
Bravi	YC F25	yc-2025.md	AI OS replacing the front office of home services businesses	L3	vertical	home services	active	none visible	high
Brickanta	Northzone;YC F25	vc-eu.md;yc-2025.md	AI agents for construction documents and project workflows	L3	vertical	construction	active	Seed funding, 2026	high
Brickwise	YC F25	yc-2025.md	AI property manager automating maintenance and tenant communications	L3	vertical	real estate	active	10+ customers	high
Bridgetown Research	Accel, Lightspeed;Lightspeed	vc-in.md;vc-us-a.md	AI agents automating business research and due diligence	L3	vertical	research	active	$19M Series A 2025	high
Broccoli AI	YC W22	yc-2021-22.md	AI-native OS automating home-service calls and dispatch	L3	vertical	home services	active	team 21	normal
Bronco	YC S23	yc-2023.md	AI verification engineers finding bugs in silicon chips	L3	vertical	engineering	active	none visible	normal
Browser Use	seed:X;Felicis;YC W25	kp-infra.md;vc-us-c.md;yc-2025.md	Open-source library for browser-controlling agents	X	horizontal	general	active	50000+ GitHub stars; $17M seed (2025)	high
Browserbase	seed:L1	kp-infra.md	Headless browser infrastructure for AI agents	L1	horizontal	general	active	$40M Series B 2025 at $300M valuation	high
BrowserBook	YC F24	yc-2024.md	The Browser Automation IDE	L2	horizontal	general	active	Pre-Seed	high
Browserless	ext:X	kp-infra.md	Managed headless Chrome for automation	X	horizontal	general	active	Under $500K raised; bootstrapped	normal
BrowserOS	YC S24	yc-2024.md	The Open Source Agentic Browser	X	horizontal	general	active	none visible	high
Bubble Lab	YC W26	yc-2026.md	AI work automation for Slack teams	L2	horizontal	general	active	none visible	high
Buildbox	YC S26	yc-2026.md	Agent analytics for real user outcomes	L1	horizontal	general	active	none visible	high
Bunkerhill Health	ext:L3;Khosla Ventures	kp-vertical-b.md;vc-us-a.md	Agentic AI for hospital operations and patient routing	L3	vertical	healthcare	active	$55M Series B (Jul 2026)	high
burnt	YC S25	yc-2025.md	Agentic operating system for the food supply chain	L3	vertical	logistics	active	none visible	high
BusinessOnBot	YC W21	yc-2021-22.md	commerce bots for customer acquisition on WhatsApp	L3	vertical	ecommerce	active	$841.3K raised	normal
Buster	YC W24	yc-2024.md	AI platform for analytics engineering	L3	vertical	data & analytics	active	none visible	high
Butter	YC W25	yc-2025.md	LLM proxy recording and replaying agent tool-call trajectories	L1	horizontal	general	active	none visible	high
Bytebot	YC S21	yc-2021-22.md	open-source container and APIs for computer-use desktop agents	L1	horizontal	general	acquired	none visible	normal
ByteDance HiAgent	ext:L2	kp-platforms.md	ByteDance Volcano Engine's enterprise agent building platform	L2	horizontal	general	active	Volcano Engine enterprise adoption; BytePlus AgentKit internationally	normal
C3 AI	ext:L2;ext:L5	kp-platforms.md;kp-suites.md	Enterprise agentic AI platform for building and deploying AI agents	L2	horizontal	general	active	Public company; Shell, US Air Force, Holcim customers	high
Caddy	YC F25	yc-2025.md	Voice OS that learns your work and acts on your behalf	X	horizontal	general	active	none visible	high
Cair Health	YC S23	yc-2023.md	AI agents streamlining medical claims and RCM operations	L3	vertical	healthcare	active	none visible	normal
Callback	YC S24	yc-2024.md	AI-native business process outsourcing	L4	horizontal	general	active	none visible	high
Calldesk	Point Nine Capital	vc-eu.md	AI voice agents for customer service call centers	X	vertical	customer service	active	French enterprise deployments; prior VC rounds	normal
Calltree	YC W25	yc-2025.md	Enterprise AI support reps for call centers	L3	vertical	customer service	active	none visible	high
Camber	YC W21	yc-2021-22.md	admin and reimbursement automation for healthcare	L3	vertical	healthcare	active	$30M Series B a16z Feb 2025; $50.1M total	high
Cambio	ext:L3	kp-vertical-b.md	Agentic AI for commercial real estate operations	L3	vertical	real estate	active	$18M Series A at $100M (Jan 2026)	normal
CambioML	YC S23	yc-2023.md	AI agents automating manual workflows without integrations	L2	horizontal	general	active	none visible	normal
CAMEL	seed:OSS	kp-infra.md	Multi-agent research framework from CAMEL-AI	L2	horizontal	general	active	12000+ GitHub stars	normal
camelAI	YC W24	yc-2024.md	AI Business Intelligence agent	L3	vertical	data & analytics	active	none visible	high
camfer	YC S24	yc-2024.md	Building the world’s first AI mechanical engineer	L3	vertical	engineering	active	none visible	high
