name	sources	files	one_liner	layer	scope	vertical	status	traction	priority	profile_depth	wiki_slug	task_horizon	pricing_model
Anthropic Agent SDK	seed:L2	kp-platforms.md	Official SDK for building agents on Claude models	L2	horizontal	general	active	Powers Claude Code; standard for Claude agents	high	deep	anthropic-agent-sdk	multi-step	unknown
Antigen	YC F25	yc-2025.md	Continuous offensive security with automated red teams	L3	vertical	security	active	none visible	high	base	antigen	unknown	unknown
Applied Compute	Lux	vc-us-c.md	In-house enterprise agent workforces via custom models	L2	horizontal	general	active	$80M raised at $1.3B val	high	deep	applied-compute	long-horizon	unknown
Approxima	YC W26	yc-2026.md	AI agents for routine software development tasks	L3	vertical	software engineering	active	none visible	high	base	approxima	unknown	unknown
Apriora	YC W24	yc-2024.md	Your AI recruiter for interviewing and identifying the best talent	L3	vertical	HR	active	Raised $2.8M	high	base	apriora	unknown	unknown
Apten	YC S24	yc-2024.md	Omnichannel AI agents that engage leads across SMS, voice, and email	X	horizontal	general	active	none visible	high	base	apten	unknown	unknown
Ara	ext:L3	kp-vertical-a.md	Self-driving cloud coding IDE agent	L3	vertical	software engineering	active	YC-backed (2026)	normal			unknown	unknown
Arca	General Catalyst	vc-us-b.md	AI agents for wealth advisory operations	L3	vertical	financial services	active	$49M Ser A 2026 led by GC	normal			unknown	unknown
Arcade	ext:L1	kp-infra.md	Authorization and secure action layer for AI agents	L1	horizontal	general	active	$60M Series A (2026); acquired Smithery	high	deep	arcade	multi-step	usage
Archal	YC S26	yc-2026.md	Isolated stateful simulated sandboxes for agents	L1	horizontal	general	active	none visible	high	base	archal	unknown	unknown
Argovox	YC S22	yc-2021-22.md	voice AI agents for patient billing and collections	X	vertical	healthcare	dead	none visible	normal			unknown	unknown
Arini	YC W24	yc-2024.md	AI receptionist for dentists	X	vertical	healthcare	active	Raised $500K Seed	high	base	arini	single-turn	unknown
Arintra	YC W22	yc-2021-22.md	autonomous clinical AI for medical coding and revenue assurance	L3	vertical	healthcare	active	UC Davis Health, Rochester Regional customers	normal			unknown	unknown
Arize	seed:L1;Foundation Capital;Battery	kp-infra.md;vc-ai.md;vc-us-b.md	Observability and evals for LLMs and agents (Phoenix OSS)	L1	horizontal	general	acquired	$70M Series C (2025)	high	deep	arize	unknown	platform+subscription
Armadin	Menlo	vc-us-b.md	Autonomous AI cyber attacker testing enterprise defenses	L3	vertical	security	active	Menlo Ser A 2026	normal			unknown	unknown
arnata	YC W21	yc-2021-22.md	AI workers for the logistics industry	L3	vertical	logistics	active	team 15	normal			unknown	unknown
Arphie	gtm:rfp	gtm-carry.md	Agent-driven RFP response with compliance-matrix handling from customer knowledge base	L3	vertical	GTM/sales	active	none visible	normal			unknown	unknown
Artemis Security	Felicis	vc-us-c.md	AI-native protection platform for security operations	L3	vertical	security	active	Series A per Felicis page	normal			unknown	unknown
Artisan	gtm:tofu;seed:L3;YC W24	gtm-carry.md;kp-vertical-b.md;yc-2024.md	AI BDR Ava automating outbound prospecting	L3	vertical	GTM/sales	active	~250 customers, $5M ARR	high	deep	artisan	long-horizon	platform+subscription
Arva AI	YC S24	yc-2024.md	AI Agents to scale AML, KYB and KYC operations	L3	vertical	finance/accounting	active	$3M from Google's AI fund	high	base	arva-ai	unknown	unknown
Asana AI Studio	ext:L5	kp-suites.md	No-code builder for work-management agents	L5	horizontal	general	active	none visible	normal			unknown	unknown
Asendia AI	ext:L3	kp-vertical-a.md	AI recruiter agents for staffing agencies	L3	vertical	HR and recruiting	active	YC-backed	normal			unknown	unknown
Ashr	YC W26	yc-2026.md	Testing and evaluation infrastructure for AI agents	L1	horizontal	general	active	none visible	high	base	ashr	unknown	unknown
AskUI	Seedcamp	vc-eu.md	AI agents automating software through user interfaces	X	horizontal	general	active	€4.3M seed, 2023	normal			unknown	unknown
Assemble	YC S26	yc-2026.md	AI coworkers for IT teams operating inside enterprise systems	L3	vertical	it	active	none visible	high	base	assemble	long-horizon	unknown
Assort Health	ext:L3;Menlo;Felicis	kp-vertical-b.md;vc-us-b.md;vc-us-c.md	AI voice agents for patient access and scheduling	L3	vertical	healthcare	active	$120M Series C at $1.2B (Jun 2026)	high	deep	assort-health	persistent	unknown
Asteroid	YC W25	yc-2025.md	Open-source builder for complex browser agents, AI browser workforce	X	horizontal	general	active	none visible	high	base	asteroid	multi-step	unknown
Astro	YC W25	yc-2025.md	AI energy developer finding land and securing grid connections	L3	vertical	energy	active	none visible	high	base	astro	unknown	unknown
Atira	gtm:cpq;ext:L3	gtm-carry.md;kp-vertical-b.md	AI orchestration layer for industrial sales engineering and document generation	L3	vertical	GTM/sales	active	none visible	normal			unknown	unknown
Atla	YC S23	yc-2023.md	LLM judges that evaluate and guard AI agents	L1	horizontal	general	active	$5M seed led by Creandum	high	deep	atla	unknown	platform+subscription
Atlassian Rovo	seed:L5	kp-suites.md	AI agents and knowledge across Jira, Confluence, and Atlassian tools	L5	horizontal	general	active	2.4 million business workflows (reported)	high	deep	atlassian-rovo	multi-step	usage
Atlia	YC S26	yc-2026.md	AI-native property management company	L3	vertical	real estate	active	none visible	high	base	atlia	unknown	unknown
Atomic	Madrona	vc-us-c.md	Agentic AI for supply chain planning	L3	vertical	logistics	active	$3M seed 2025	normal			unknown	unknown
Atomicwork	seed:L3;Z47, Blume;Battery	kp-vertical-a.md;vc-in.md;vc-us-b.md	AI agents for IT service and employee support	L3	vertical	IT and employee service	active	Khosla-led $25M Series A (2025)	high	deep	atomicwork	multi-step	usage
Augment Code	ext:L3	kp-vertical-a.md	Codebase-aware AI coding agents for enterprises	L3	vertical	software engineering	active	$252M raised; ~$20M ARR est. (2025)	high	deep	augment-code	multi-step	usage
Aurascape	Menlo	vc-us-b.md	Security for enterprise AI and agent interactions	L1	horizontal	general	active	Menlo Ser A 2025	normal			unknown	unknown
Aurelian	NEA;YC S22	vc-us-b.md;yc-2021-22.md	AI agents for 911 and emergency call centers	L3	vertical	public safety	active	NEA-led Ser A 2025	normal			unknown	unknown
AutoAce	YC F25	yc-2025.md	AI-native dealership OS with AI service advisors on calls	L3	vertical	automotive	active	none visible	high	base	autoace	unknown	unknown
AutoComputer	YC F24	yc-2024.md	Desktop RPA with AI computer use	X	horizontal	general	active	Pre-Seed	high	base	autocomputer	unknown	unknown
Autodesk AI Assistant	ext:L5	kp-suites.md	Design and AEC workflow assistant and agents	L5	vertical	construction	active	none visible	normal			unknown	unknown
AutoGen	ext:OSS	kp-infra.md	Microsoft's open-source multi-agent framework	L2	horizontal	general	active	Widely adopted OSS; production release	normal			unknown	unknown
AutogenAI	gtm:rfp	gtm-carry.md	LLM platform auto-drafts compliant bid and tender responses from past proposals	L3	vertical	GTM/sales	active	UK fast-growth list 2026	normal			unknown	unknown
AutoGPT	seed:OSS;ext:L2	kp-infra.md;kp-platforms.md	Autonomous agent platform from the AutoGPT project	L2	horizontal	general	active	170000+ GitHub stars; hosted platform	high	deep	autogpt	long-horizon	usage
automaited	Northzone	vc-eu.md	General process AI automating any business process	L2	horizontal	general	active	$4.2M seed, 2022	normal			unknown	unknown
Automat	Felicis;YC W23	vc-us-c.md;yc-2023.md	Managed automations built and maintained by AI	L4	horizontal	general	active	seed per Felicis page	high	deep	automat	persistent	usage
Automation Anywhere AI Agents	ext:L5	kp-suites.md	Goal-driven agents on the Automation Success platform	L5	horizontal	general	active	none visible	normal			unknown	unknown
Automax.ai	YC F25	yc-2025.md	AI-native real estate appraisal firm using LiDAR and agents	L3	vertical	real estate	active	none visible	high	deep	automax-ai	multi-step	unknown
Autosana	YC S25	yc-2025.md	AI agents turning natural language into E2E mobile tests	L3	vertical	software engineering	active	none visible	high	base	autosana	unknown	unknown
Autotab	YC S23	yc-2023.md	AI knowledge worker operating mouse and keyboard	X	horizontal	general	active	none visible	normal			unknown	unknown
Avaamo	ext:L2	kp-platforms.md	Enterprise conversational AI platform for large organizations	L2	horizontal	general	active	$14.2M round led by Intel Capital 2018	normal			unknown	unknown
Avent	YC S25	yc-2025.md	Agents running quoting and order entry for industrial commerce	L3	vertical	distribution	active	none visible	high	base	avent	unknown	unknown
Averi	seed:L4	kp-infra.md	AI marketing content engine with expert talent network	L4	horizontal	general	active	$5.3M raised (2025)	normal			unknown	unknown
Avery AI	YC W24	yc-2024.md	Contact Center for Residential Property Managers	L3	vertical	real estate	active	none visible	high	base	avery-ai	unknown	unknown
AviaryAI	YC S22	yc-2021-22.md	outbound AI voice agents for financial services	X	vertical	financial services	active	team 10	normal			unknown	unknown
Avina	YC S22	yc-2021-22.md	AI agents finding ready prospects, automating outreach	L3	vertical	GTM and sales	active	team 5	normal			unknown	unknown
Avoca	YC W23	yc-2023.md	AI receptionist answering missed calls for service SMBs	X	vertical	home services	active	none visible	normal			unknown	unknown
Avora	YC F24	yc-2024.md	Agents for dental operations	L3	vertical	healthcare	active	raised $2.3M seed	high	base	avora	multi-step	unknown
AWS AgentCore	seed:L5	kp-suites.md	Managed runtime with identity, memory, and observability for agents	L1	horizontal	general	active	GA October 2025; uptake undisclosed	normal			unknown	unknown
AWS Kiro	ext:L5	kp-suites.md	Agentic IDE from AWS, successor to Q Developer	L3	vertical	software engineering	active	none visible	normal			unknown	unknown
AWS Strands Agents	seed:L2;seed:L5	kp-platforms.md;kp-suites.md	AWS open-source agent SDK for Python and TypeScript	L2	horizontal	general	active	Open-sourced May 2025; paired with Bedrock AgentCore	high	deep	aws-strands-agents	multi-step	unknown
Axal	YC W25	yc-2025.md	Agents moving RFQs, invoices, POs from inboxes into ERPs	L3	vertical	manufacturing	active	none visible	high	base	axal	unknown	unknown
AXAR AI	YC W21	yc-2021-22.md	how great teams ship with AI	L2	horizontal	general	dead	none visible	normal			unknown	unknown
Axelrod	YC S26	yc-2026.md	Boutique hotels that run themselves	L3	vertical	real estate	active	none visible	high	deep	axelrod	persistent	unknown
Axiom.ai	YC W21	yc-2021-22.md	no-code browser automation and RPA	X	horizontal	general	active	$125K raised	normal			unknown	unknown
Azure AI Foundry	seed:L5	kp-suites.md	Pro-code platform and agent service for governed AI agents on Azure	L2	horizontal	general	active	Forrester TEI study 2026; 80% F500 claim spans Microsoft agents	high	deep	azure-ai-foundry	multi-step	unknown
Baidu AgentBuilder	ext:L2	kp-platforms.md	Baidu's no-code agent builder on the Qianfan platform	L2	horizontal	general	active	Part of Baidu Qianfan mass-market AI stack	normal			unknown	unknown
Balance	YC W26	yc-2026.md	Real-time audit-ready accounting powered by AI	L3	vertical	finance	active	none visible	high	base	balance	unknown	unknown
Ballerine	YC S22	yc-2021-22.md	agentic intelligence layer for merchant risk decisions	L3	vertical	fintech	active	team 16	normal			unknown	unknown
Base.ai	gtm:cs	gtm-carry.md	Post-sale engagement platform with AI agents for advocacy and expansion	L3	vertical	GTM/sales	active	none visible	normal			unknown	unknown
BaseFrame	YC W26	yc-2026.md	Identifies tasks and provides specs for AI automation	L2	horizontal	general	active	none visible	high	base	baseframe	unknown	unknown
Basepilot	YC W24	yc-2024.md	AI coworkers to automate browser work, in minutes	L3	vertical	insurance	active	none visible	high	base	basepilot	unknown	unknown
Basis	seed:L3;Mayfield;Khosla Ventures	kp-vertical-b.md;vc-ai.md;vc-us-a.md	AI agents automating accounting close and workflows	L3	vertical	finance/accounting	active	$100M Series B at $1.15B valuation (Feb 2026)	high	deep	basis	long-horizon	usage
Beacon Health	YC W26	yc-2026.md	AI agents automating healthcare EHR workflows	L3	vertical	healthcare	active	$5.4M prior to YC	high	base	beacon-health	multi-step	unknown
Beam	YC W22	yc-2021-22.md	serverless cloud for AI inference, sandboxes, and agents	L1	horizontal	general	active	open source; Coca-Cola user	normal			unknown	unknown
Beam AI	seed:L2	kp-platforms.md	Agent OS and AI agents for back-office automation	L2	horizontal	general	active	None visible	normal			unknown	unknown
BeeSafe AI	YC W26	yc-2026.md	Fraud prevention platform engaging scammers in real-time	L3	vertical	security	active	none visible	high	base	beesafe-ai	unknown	unknown
Berry	YC W23	yc-2023.md	AI revenue agent for enterprise SaaS renewals	L3	vertical	sales	active	none visible	normal			unknown	unknown
Bespoke Labs	Mayfield	vc-ai.md	Environments that train reliable AI agents	L1	horizontal	general	active	$40M raised July 2026	normal			unknown	unknown
Bezi	Bessemer	vc-us-b.md	Vertical AI agent for game development	L3	vertical	software engineering	active	BVP-backed, early stage	normal			unknown	unknown
Billow AI	YC S26	yc-2026.md	Agent-native accounting firms	L3	vertical	finance	active	none visible	high	base	billow-ai	unknown	unknown
bitrig	YC W24	yc-2024.md	Vibe code, test, and deploy Swift apps	L3	vertical	software engineering	active	$500K Seed	high	base	bitrig	unknown	unknown
Bizzy	YC S25;YC W26	yc-2025.md;yc-2026.md	AI answering calls, qualifying leads, booking into CRM	L3	vertical	customer service	active	none visible	high	base	bizzy	persistent	unknown
BlackLine	seed:L3	kp-vertical-b.md	Accounting close suite with multi-agent AI	L5	vertical	finance/accounting	active	public company; Verity agent AI for close	high	deep	blackline	multi-step	unknown
Bland	seed:X;YC S23	kp-infra.md;yc-2023.md	AI phone-call platform for enterprise workflows	X	horizontal	general	active	$100M+ raised; 3.5M weekly calls (2026)	high	deep	bland	multi-step	usage
Blink	YC W22	yc-2021-22.md	AI building and launching full-stack web apps from descriptions	L3	vertical	software engineering	active	none visible	normal			unknown	unknown
Blitzy	Northzone	vc-eu.md	Autonomous code generation platform building enterprise software end to end	L3	vertical	software engineering	active	$200M at $1.4B led by Northzone, May 2026	high	deep	blitzy	long-horizon	usage
Bluebook	YC W25	yc-2025.md	AI agents handling accounting research, reconciliations, month-end close	L3	vertical	accounting	active	none visible	high	base	bluebook	unknown	unknown
Bluecopa	Blume	vc-in.md	Autonomous finance agents for reconciliation and close	L3	vertical	finance	active	$7.5M Series A 2026	normal			unknown	unknown
Bolna	Blume;YC F25	vc-in.md;yc-2025.md	India-focused voice AI orchestration platform for enterprise calls	X	horizontal	general	active	$6.3M seed 2026; $700K ARR	high	deep	bolna	multi-step	usage
Booko	YC W26	yc-2026.md	Predicts empty slots and automatically applies discounts	L3	horizontal	general	active	none visible	high	deep	booko	persistent	unknown
Boom AI	YC F25	yc-2025.md	AI employee managing every ecommerce customer interaction	L3	vertical	customer service	active	none visible	high	base	boom-ai	persistent	unknown
Boomi AI Agents	ext:L5	kp-suites.md	Integration agents built in Boomi Agent Designer	L5	horizontal	general	active	none visible	normal			unknown	unknown
BootLoop	YC S25	yc-2025.md	AI agent writing and testing firmware on real hardware	L3	vertical	software engineering	active	none visible	high	base	bootloop	unknown	unknown
BotCity	YC W22	yc-2021-22.md	orchestration and governance for AI-generated automation scripts	L1	horizontal	general	active	$12M Series A Sep 2025	high	deep	botcity	persistent	platform+subscription
Boton	YC S22	yc-2021-22.md	accounting software with an AI agent	L3	vertical	finance and accounting	active	team 3	normal			unknown	unknown
Botpress	seed:L2	kp-platforms.md	Platform for building and deploying conversational AI agents	L2	horizontal	general	active	$25M Series B Jun 2025	high	base	botpress	unknown	unknown
Boundo	YC S22	yc-2021-22.md	autonomous motion designer turning product features into videos	L3	vertical	GTM and marketing	active	renamed Impractical; ex-AI SDR	normal			unknown	unknown
Bounti	gtm:sol;seed:L3	gtm-carry.md;kp-vertical-b.md	Full-stack agentic AI teammate platform for sales, marketing, customer success	L3	vertical	GTM/sales	active	first prospecting teammate shipped	normal			unknown	unknown
